word	freq
&	136
x	16
'	479
's	4599
0	26
0s	26
000	15
01	11
1	385
1s	385
1st	13
2	345
2s	345
3	251
3s	251
4	202
4s	202
5	176
5s	176
6	135
6s	135
7	107
7s	107
8	97
8s	97
9	80
9s	80
10	187
10s	187
10%	13
11	93
11s	93
12	121
12s	121
13	76
13s	76
14	80
14s	80
15	110
15s	110
16	81
16s	81
17	63
18	81
18s	81
18th	10
19	53
19th	12
20	133
20s	133
20%	11
21	56
21s	56
22	53
23	48
23s	48
24	65
25	77
25s	77
26	44
27	43
28	50
28s	50
29	40
30	116
30s	116
31	51
32	20
32s	20
33	17
34	15
35	25
35s	25
36	17
37	14
38	15
39	13
40	58
40s	58
41	12
42	14
42s	14
43	12
44	12
45	22
45s	22
46	11
47	11
48	15
50	68
50s	68
50%	11
52	10
55	12
60	43
60s	43
65	17
70	29
70s	29
75	17
75s	17
80	28
80s	28
90	25
90s	25
93	13
100	69
120	10
150	18
200	35
250	12
300	24
400	17
500	24
500s	24
600	11
1,000	19
1914	11
1920	20
1920s	20
1930	25
1930s	25
1936	10
1939	13
1940	19
1940s	19
1944	11
1945	18
1946	10
1947	12
1948	13
1949	10
1950	33
1950s	33
1951	10
1953	10
1954	10
1956	11
1957	12
1958	11
1959	12
1960	45
1960s	45
1961	14
1962	14
1963	14
1964	18
1965	16
1966	17
1967	21
1968	24
1969	20
1970	60
1970s	60
1971	26
1972	27
1973	29
1974	33
1975	34
1976	36
1977	37
1978	37
1979	54
1980	90
1980s	90
1981	56
1982	52
1983	57
1984	58
1985	74
1986	79
1987	85
1988	103
1989	134
1990	160
1990s	160
1991	128
1992	102
1993	57
1994	16
2000	16
2,000	13
10,000	12
£1	14
£1.00	1
£10	11
£100	13
£1,000	10
a	21626
a / a	268
a bit	119
a great deal	14
a little	104
a lot	40
abandon	44
abandoned	44
abandoning	44
abandons	44
abbey	20
abbeys	20
aberdeen	14
abilities	105
ability	105
able	304
abolish	19
abolished	19
abolishes	19
abolishing	19
abolition	12
abortion	15
abortions	15
about	447
above	258
abroad	39
abruptly	12
absence	59
absences	59
absent	15
absolute	35
absolutely	58
absorb	27
absorbed	27
absorbing	27
absorbs	27
abstract	19
abuse	49
abuses	49
abused	12
abusing	12
a.c.	16
ac	16
academic	47
academies	15
academy	15
accelerate	11
accelerated	11
accelerates	11
accelerating	11
accent	19
accents	19
accept	202
accepted	212
accepting	202
accepts	202
acceptable	36
acceptance	27
acceptances	27
access	115
accesses	115
accessed	15
accessing	15
accessible	16
accident	84
accidents	84
accommodate	21
accommodated	21
accommodates	21
accommodating	21
accommodation	44
accommodations	44
accompanied	48
accompanies	48
accompany	48
accompanying	48
accord	10
accorded	10
according	10
accords	10
according to	157
accordingly	23
account	258
accounts	258
accounted	58
accounting	83
accountabilities	12
accountability	12
accountant	22
accountants	22
accumulate	12
accumulated	12
accumulates	12
accumulating	12
accuracy	17
accurate	29
accurately	14
accusation	12
accusations	12
accuse	48
accused	59
accuses	48
accusing	48
ace	13
aces	13
achieve	169
achieved	169
achieves	169
achieving	169
achievement	46
achievements	46
acid	59
acids	59
acknowledge	43
acknowledged	43
acknowledges	43
acknowledging	43
acquire	68
acquired	68
acquires	68
acquiring	68
acquisition	33
acquisitions	33
acre	22
acres	22
across	252
act	385
acts	385
acted	137
acting	137
action	269
actions	269
activate	14
activated	14
activates	14
activating	14
active	73
